priority,category,segment_id,page,place_or_field,current_value,issue,question,recommended_action,manual_result,notes
P1,坐标复核,seg-004,100;104;114;102;111;115,modern_followability / coordinate_confidence,movement_type=walked; continuity_status=gap_before; walkability_status=book_walkable; modern_followability=approximate_only; do_not_connect_in_gpx=False,该段坐标仅为 approximate_only，不能当作精确轨迹。,请核对起点、终点、途经地的 approximate 坐标是否只能作为辅助定位，不得用现代地图反推书中路线。,若只能确认大致范围，继续保持 approximate。,,延庆旧县镇 -> 白河堡水库
P1,坐标复核,seg-005,122;143;125;126,modern_followability / coordinate_confidence,movement_type=walked; continuity_status=continuous; walkability_status=book_walkable; modern_followability=approximate_only; do_not_connect_in_gpx=False,该段坐标仅为 approximate_only，不能当作精确轨迹。,请核对起点、终点、途经地的 approximate 坐标是否只能作为辅助定位，不得用现代地图反推书中路线。,若只能确认大致范围，继续保持 approximate。,,白河堡水库 -> 长伸地村
P1,坐标复核,seg-006,148;150;160;167;151;161;154;155,modern_followability / coordinate_confidence,movement_type=walked; continuity_status=continuous; walkability_status=book_walkable; modern_followability=approximate_only; do_not_connect_in_gpx=False,该段坐标仅为 approximate_only，不能当作精确轨迹。,请核对起点、终点、途经地的 approximate 坐标是否只能作为辅助定位，不得用现代地图反推书中路线。,若只能确认大致范围，继续保持 approximate。,,长伸地村 -> 龙门所镇
P1,坐标复核,seg-007,172;175;180;189;174,modern_followability / coordinate_confidence,movement_type=walked; continuity_status=continuous; walkability_status=book_walkable; modern_followability=approximate_only; do_not_connect_in_gpx=False,该段坐标仅为 approximate_only，不能当作精确轨迹。,请核对起点、终点、途经地的 approximate 坐标是否只能作为辅助定位，不得用现代地图反推书中路线。,若只能确认大致范围，继续保持 approximate。,,龙门所 -> 白草镇
P1,坐标复核,seg-009,216;220;232;218;221;222;224;228,modern_followability / coordinate_confidence,movement_type=mixed; continuity_status=gap_before; walkability_status=book_walkable; modern_followability=approximate_only; do_not_connect_in_gpx=False,该段坐标仅为 approximate_only，不能当作精确轨迹。,请核对起点、终点、途经地的 approximate 坐标是否只能作为辅助定位，不得用现代地图反推书中路线。,若只能确认大致范围，继续保持 approximate。,,老掌沟 -> 小厂镇
P1,坐标复核,seg-012,280;282;290;300;285;286;291;298;299,modern_followability / coordinate_confidence,movement_type=walked; continuity_status=continuous; walkability_status=book_walkable; modern_followability=approximate_only; do_not_connect_in_gpx=False,该段坐标仅为 approximate_only，不能当作精确轨迹。,请核对起点、终点、途经地的 approximate 坐标是否只能作为辅助定位，不得用现代地图反推书中路线。,若只能确认大致范围，继续保持 approximate。,,沽源县城 -> 塞北管理区
P1,书中证据复核,seg-001,30;34;52;45,book_refs / chapter_refs,book_refs=3; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,健德门 -> 皂甲屯
P1,书中证据复核,seg-002,54;60;64;56;58,book_refs / chapter_refs,book_refs=4; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,昌平镇 -> 居庸关
P1,书中证据复核,seg-003,76;88;96;98,book_refs / chapter_refs,book_refs=3; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,居庸关 -> 延庆旧县镇
P1,书中证据复核,seg-004,100;104;114;102;111;115,book_refs / chapter_refs,book_refs=5; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,延庆旧县镇 -> 白河堡水库
P1,书中证据复核,seg-005,122;143;125;126,book_refs / chapter_refs,book_refs=4; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,白河堡水库 -> 长伸地村
P1,书中证据复核,seg-006,148;150;160;167;151;161;154;155,book_refs / chapter_refs,book_refs=8; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,长伸地村 -> 龙门所镇
P1,书中证据复核,seg-007,172;175;180;189;174,book_refs / chapter_refs,book_refs=5; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,龙门所 -> 白草镇
P1,书中证据复核,seg-008,192;194;205;207,book_refs / chapter_refs,book_refs=7; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,白草镇 -> 老掌沟
P1,书中证据复核,seg-009,216;220;232;218;221;222;224;228,book_refs / chapter_refs,book_refs=10; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,老掌沟 -> 小厂镇
P1,书中证据复核,seg-010,240;242;251;260;245,book_refs / chapter_refs,book_refs=5; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,小厂镇 -> 五花草甸
P1,书中证据复核,seg-011,262;265;277;273,book_refs / chapter_refs,book_refs=3; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,五花草甸 -> 沽源县城
P1,书中证据复核,seg-012,280;282;290;300;285;286;291;298;299,book_refs / chapter_refs,book_refs=9; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,沽源县城 -> 塞北管理区
P1,书中证据复核,seg-013,302;304;314;318;305;313,book_refs / chapter_refs,book_refs=5; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,塞北管理区 -> 黑城子镇
P1,书中证据复核,seg-014,322;324;328;332,book_refs / chapter_refs,book_refs=5; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,黑城子 -> 四郎城
P1,书中证据复核,seg-015,342;344;353;348;318;345;346,book_refs / chapter_refs,book_refs=8; chapter_refs=1; evidence_status=warning,需确认 book_refs 支持路线事实，chapter_refs 只是章节出处。,请对照原页和 OCR 文本，判断引文是否真正支撑起终点、途经地、方向、道路或风险等信息。,如发现标题页被当作事实证据，在 manual_result 中标出。,,四郎城 -> 元上都遗址
P1,书中证据复核,seg-001,30;34;52;45,resupply,村民提示附近有餐馆，作者找到餐馆后吃了一碗拉面。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,健德门 -> 皂甲屯
P1,书中证据复核,seg-002,54;60;64;56;58,risks_or_notes,背包明显变重；晴空湛蓝，又一个高亢的暑天；遇狗阻路后绕道。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,昌平镇 -> 居庸关
P1,书中证据复核,seg-003,76;88;96;98,lodging,书中未明示,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,居庸关 -> 延庆旧县镇
P1,书中证据复核,seg-006,148;150;160;167;151;161;154;155,roads_or_paths,修路路段、老路、人行道、国道京环线（G112）。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,长伸地村 -> 龙门所镇
P1,书中证据复核,seg-006,148;150;160;167;151;161;154;155,risks_or_notes,修路尘土飞扬、烈日、疲劳；王抒脚上打了水泡。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,长伸地村 -> 龙门所镇
P1,书中证据复核,seg-007,172;175;180;189;174,route_summary,从龙门所沿 G112 北上，到小东沟林场一带越过白河与黑河分水岭，下山后折向东，经东万口乡，下午到白草镇；书中另写到塘子庙温泉和住宿安排。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,龙门所 -> 白草镇
P1,书中证据复核,seg-007,172;175;180;189;174,lodging,塘子庙一带的“温泉宾馆”。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,龙门所 -> 白草镇
P1,书中证据复核,seg-008,192;194;205;207,route_summary,从白草镇出发，沿黑河东岸 X404 北上，经过三道川、黑龙山、山神庙等地，进入老掌沟；从沟口往沟里走半小时后，请度假村老板开车来接。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,白草镇 -> 老掌沟
P1,书中证据复核,seg-008,192;194;205;207,risks_or_notes,离老掌沟还有约二十公里，书中判断很难完成；山区可能突降暴雨，路上有越野车队；后段联系度假村车辆接应。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,白草镇 -> 老掌沟
P1,书中证据复核,seg-009,216;220;232;218;221;222;224;228,risks_or_notes,沟谷中需反复过河；细沙和深车辙使行走困难；五公里沟谷实际走了差不多十公里。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,老掌沟 -> 小厂镇
P1,书中证据复核,seg-010,240;242;251;260;245,resupply,石柱村商店提供方便面，作者先喝两瓶啤酒。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,小厂镇 -> 五花草甸
P1,书中证据复核,seg-011,262;265;277;273,risks_or_notes,本段先乘出租车到梳妆楼，再送到五花草甸；随后从五花草甸一带补走到沽源。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,五花草甸 -> 沽源县城
P1,书中证据复核,seg-012,280;282;290;300;285;286;291;298;299,risks_or_notes,高原的暴晒和暑热开始发威；作者越来越畏惧阳光；到方元酒店时两脚打了水泡。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,沽源县城 -> 塞北管理区
P1,书中证据复核,seg-013,302;304;314;318;305;313,route_summary,从塞北管理区沿县道402往北，跨过河北与内蒙古分界后进入正蓝旗，沿X502继续北行，经黑土城镇前往李陵台遗址；之后到黑城子镇一带。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,塞北管理区 -> 黑城子镇
P1,书中证据复核,seg-014,322;324;328;332,resupply,途中在蒙古包休息；对方提供热水，作者一行吃自带的馒头和面包。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,黑城子 -> 四郎城
P1,书中证据复核,seg-015,342;344;353;348;318;345;346,resupply,电视台记者送来冰冻矿泉水和西瓜。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,四郎城 -> 元上都遗址
P1,书中证据复核,seg-015,342;344;353;348;318;345;346,lodging,前一晚住正蓝旗上都镇的上都酒店。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,四郎城 -> 元上都遗址
P1,书中证据复核,seg-015,342;344;353;348;318;345;346,risks_or_notes,最后一天天气极热；脚趾和脚后跟多处水泡，脚底疼痛；路上没有树，也没有其他可以遮阴的地方。,该字段曾在证据清理中被标为 unsupported claim。,请确认现有内容是否已经保守处理为“书中未明示”或移入 review_notes。,若原书其他页有明确证据，记录页码和短摘；否则保持未明示。,,四郎城 -> 元上都遗址
P1,页面表述复核,,,页面禁用宣传语,完整可导航路线 / 精确轨迹 / 无需复核 / 官方路线,需确认页面表述保守、诚实，不把本项目说成完整导航路线。,请检查线上页面、图例、路线卡和下载说明中的相关表述。,只记录表述复核结果；不在本轮修改 web 或公开数据。,,页面表述人工复核任务。
P1,页面表述复核,,,坐标辅助定位说明,坐标为现代地图辅助定位,需确认页面表述保守、诚实，不把本项目说成完整导航路线。,请检查线上页面、图例、路线卡和下载说明中的相关表述。,只记录表述复核结果；不在本轮修改 web 或公开数据。,,页面表述人工复核任务。
P1,页面表述复核,,,断点 / 补走 / 乘车提示,do_not_connect_in_gpx / gap_notes,需确认页面表述保守、诚实，不把本项目说成完整导航路线。,请检查线上页面、图例、路线卡和下载说明中的相关表述。,只记录表述复核结果；不在本轮修改 web 或公开数据。,,页面表述人工复核任务。
P2,页面表述复核,,,复核入口可见性,review_index.md / field_guide.md,需确认页面表述保守、诚实，不把本项目说成完整导航路线。,请检查线上页面、图例、路线卡和下载说明中的相关表述。,只记录表述复核结果；不在本轮修改 web 或公开数据。,,页面表述人工复核任务。
