segment_id,field,claim,action,before,after,added_refs,moved_to_review_notes,quote_validation,notes
seg-001,resupply,第45页提到村民提示餐馆并在餐馆吃拉面,supported_with_new_book_ref,第45页提到村民提示餐馆并在餐馆吃拉面。,村民提示附近有餐馆，作者找到餐馆后吃了一碗拉面。,p45 找到村民所说的餐馆，点了一碗拉面,no,p45:found,
seg-002,risks_or_notes,暑热、背包变重、路上犬只绕行,supported_with_new_book_ref,暑热、背包变重、路上犬只绕行。,背包明显变重；晴空湛蓝，又一个高亢的暑天；遇狗阻路后绕道。,p56 背包明显变重了。晴空湛蓝，又一个高亢的暑天 | p58 既然它不让我走，我只好绕道了,no,p56:found | p58:found,
seg-003,lodging,无本段步行住宿,cleared_to_unspecified,无本段步行住宿；作者坐车返回居庸关/中关村休整。,书中未明示,,yes,无新增引文,未找到能直接支持“无本段步行住宿”的正面证据；保留为复核说明。
seg-006,roads_or_paths,修路路段、老路、人行道、国道京环线/G112,supported_with_new_book_ref,修路路段、老路、人行道、国道京环线/G112。,修路路段、老路、人行道、国道京环线（G112）。,p151 我们尽量走路边的老路或人行道 | p161 汇入国道京环线（G112）,no,p151:found | p161:found,
seg-006,risks_or_notes,修路扬尘、烈日、疲劳、水泡,supported_with_new_book_ref,修路扬尘、烈日、疲劳、水泡。,修路尘土飞扬、烈日、疲劳；王抒脚上打了水泡。,p154 大卡车奔忙来去，拖曳着尘土飞扬的长龙 | p155 他的脚第一天就打了水泡 | p160 顶着烈日再走一个小时,no,p154:found | p155:found | p160:found,
seg-007,route_summary,经塘子庙,supported_with_new_book_ref,从龙门所沿 G112 先北上越过白河与黑河分水岭，再下到黑河河谷，经塘子庙、东万口乡，下午到白草镇。,从龙门所沿 G112 北上，到小东沟林场一带越过白河与黑河分水岭，下山后折向东，经东万口乡，下午到白草镇；书中另写到塘子庙温泉和住宿安排。,p174 塘子庙就是明代地图上的“滚水塘”，以温泉得名,no,p174:found,
seg-007,lodging,塘子庙温泉宾馆一带,supported_with_new_book_ref,塘子庙温泉宾馆一带。,塘子庙一带的“温泉宾馆”。,p174 我们住的这家“温泉宾馆”开业不久,no,p174:found,
seg-008,route_summary,因路程和同行人返程安排，后段由度假村车接走,supported_with_new_book_ref,从白草镇出发，沿黑河东岸 X404 北上，经过三道川、黑龙山、山神庙等地，进入老掌沟河谷森林地带；因路程和同行人返程安排，后段由度假村车接走。,从白草镇出发，沿黑河东岸 X404 北上，经过三道川、黑龙山、山神庙等地，进入老掌沟；从沟口往沟里走半小时后，请度假村老板开车来接。,p207 请他开车来接我们。他爽快地答应了,no,p207:found,
seg-008,risks_or_notes,长距离近四十公里计划、天气突变、越野车、后段非连续步行,supported_with_new_book_ref,长距离近四十公里计划、天气突变、越野车、后段非连续步行。,离老掌沟还有约二十公里，书中判断很难完成；山区可能突降暴雨，路上有越野车队；后段联系度假村车辆接应。,p205 离目的地老掌沟还有差不多二十公里，看来很难完成了 | p205 山区有自己的小气候，也许会突然来一场暴雨 | p205 一路上已见到好几拨越野车队,no,p205:found | p205:found | p205:found,
seg-009,risks_or_notes,反复过河、深车辙、细沙、绕行导致距离增加,supported_with_new_book_ref,反复过河、深车辙、细沙、绕行导致距离增加。,沟谷中需反复过河；细沙和深车辙使行走困难；五公里沟谷实际走了差不多十公里。,p220 无论怎么走都得反复过河 | p220 满谷都是细沙，被越野车纵横碾压之后，车辙深陷,no,p220:found | p220:found | p220:found,
seg-010,resupply,途中小店泡面、啤酒,supported_with_new_book_ref,小厂镇早餐和小卖部买水；途中小店泡面、啤酒。,石柱村商店提供方便面，作者先喝两瓶啤酒。,p245 我给你们泡碗方便面吧 | p245 从冰箱里拿出两瓶啤酒，让我们先喝着,no,p245:found | p245:found,
seg-011,risks_or_notes,本段包含车辆回到补走起点，需避免误画乘车路线,supported_with_new_book_ref,本段包含车辆回到补走起点，需避免误画乘车路线。,本段先乘出租车到梳妆楼，再送到五花草甸；随后从五花草甸一带补走到沽源。,p273 上午九点五十分，出租车把我们送到五花草甸,no,p265:found | p273:found,
seg-012,risks_or_notes,酷热、强日晒、长距离无行道树,supported_with_new_book_ref,酷热、强日晒、长距离无行道树。,高原的暴晒和暑热开始发威；作者越来越畏惧阳光；到方元酒店时两脚打了水泡。,p285 高原的暴晒和暑热开始发威 | p286 我越来越畏惧阳光 | p300 两脚的脚跟和外侧都打了水泡,no,p285:found | p286:found | p300:found,
seg-013,route_summary,经过明安驿,rewritten_without_unsupported_part,从塞北管理区沿县道 402 北行，跨过河北/内蒙古边界后沿滦河东岸继续，经过明安驿、李陵台遗址，到黑城子镇一带。,从塞北管理区沿县道402往北，跨过河北与内蒙古分界后进入正蓝旗，沿X502继续北行，经黑土城镇前往李陵台遗址；之后到黑城子镇一带。,p305 由此往北再走三公里，十一点三十分，我们到达河北与内蒙的分界点 | p313 下午两点半，我们走到黑土城镇的南侧,yes,p305:found | p313:found,原 summary 中“经过明安驿”与本段 book_refs 无法对应；已移入复核备注。
seg-014,resupply,途中蒙古包/牧户处休息、自带午饭和热水,supported_with_new_book_ref,途中蒙古包/牧户处休息、自带午饭和热水。,途中在蒙古包休息；对方提供热水，作者一行吃自带的馒头和面包。,p328 于是我们进到院内的一个蒙古包里 | p328 我们自己带着午饭，所以就不麻烦他们了，就着水吃起自带的馒头和面包,no,p328:found | p328:found,
seg-015,resupply,电视台记者送冰冻矿泉水和西瓜,supported_with_new_book_ref,电视台记者送冰冻矿泉水和西瓜。,电视台记者送来冰冻矿泉水和西瓜。,p348 冰冻的矿泉水和西瓜从未如此充满吸引力,no,p348:found,
seg-015,lodging,前一晚住正蓝旗上都镇,supported_with_new_book_ref,书中未明示；前一晚住正蓝旗上都镇。,前一晚住正蓝旗上都镇的上都酒店。,p318 直奔网上推荐的上都酒店，办好入住手续,no,p318:found,
seg-015,risks_or_notes,极端暑热、脚底疼痛、无树荫,supported_with_new_book_ref,极端暑热、脚底疼痛、无树荫。,最后一天天气极热；脚趾和脚后跟多处水泡，脚底疼痛；路上没有树，也没有其他可以遮阴的地方。,p344 今天会是几年来最热的一天 | p345 发现脚趾头和脚后跟打了好几个水泡 | p346 事实上也没有地方适合休息，没有树，也没有其他可以遮阴的地方,no,p344:found | p345:found | p346:found,
